[Sat Dec 27 22:37:33.671217 2014] [:error] [pid 1330] [client 127.0.0.1:57216] PHP Fatal error:  Class 'config' not found in /var/www/laravel/app/controllers/HomeController.php on line 20
[Sat Dec 27 22:37:39.051929 2014] [:error] [pid 4721] [client 127.0.0.1:57231] PHP Fatal error:  Class 'config' not found in /var/www/laravel/app/controllers/HomeController.php on line 20
[Sat Dec 27 22:50:41.043554 2014] [:error] [pid 1330] [client 127.0.0.1:57340] PHP Fatal error:  Cannot call constructor in /var/www/laravel/app/controllers/BaseController.php on line 9
[Sun Dec 28 17:41:30.413206 2014] [:error] [pid 5953] [client 192.168.31.218:1920] PHP Fatal error:  Class 'basemodel' not found in /var/www/laravel/app/models/postModel.php on line 3, referer: http://192.168.31.224/
[Sun Dec 28 20:25:18.788023 2014] [:error] [pid 7211] [client 192.168.31.218:2830] PHP Parse error:  syntax error, unexpected ';' in /var/www/laravel/app/storage/views/66773fc05eb52eb920d1492d27bc81da on line 7, referer: http://192.168.31.224/
[Sun Dec 28 20:30:50.948045 2014] [:error] [pid 5952] [client 192.168.31.218:2931] PHP Parse error:  syntax error, unexpected ':' in /var/www/laravel/app/controllers/BaseController.php on line 52, referer: http://192.168.31.224/
[Sun Dec 28 20:41:02.184522 2014] [:error] [pid 5954] [client 192.168.31.218:3060] PHP Fatal error:  Using $this when not in object context in /var/www/laravel/app/controllers/BaseController.php on line 45, referer: http://192.168.31.224/
[Sun Dec 28 20:41:43.478921 2014] [:error] [pid 5962] [client 192.168.31.218:3075] PHP Fatal error:  Class 'Illuminate\\Events\\Event' not found in /var/www/laravel/vendor/laravel/framework/src/Illuminate/Events/Dispatcher.php on line 196, referer: http://192.168.31.224/
[Sun Dec 28 20:50:33.123700 2014] [:error] [pid 5962] [client 192.168.31.218:3457] PHP Parse error:  syntax error, unexpected '$param' (T_VARIABLE) in /var/www/laravel/app/controllers/BaseController.php on line 51, referer: http://192.168.31.224/
[Sun Dec 28 20:50:55.647185 2014] [:error] [pid 7166] [client 192.168.31.218:3469] PHP Parse error:  syntax error, unexpected '$param' (T_VARIABLE) in /var/www/laravel/app/controllers/BaseController.php on line 51, referer: http://192.168.31.224/
[Sun Dec 28 21:36:42.594182 2014] [:error] [pid 5959] [client 192.168.31.218:4471] PHP Fatal error:  Cannot redeclare class postModel in /var/www/laravel/app/models/termModel.php on line 0, referer: http://192.168.31.224/
